ukhoId,ukhoName,ukhoLocation,gmaAddress,gmaLatitude,gmaLongitude,gmaCity,gmaCountry,gmaStatus
5576,`Rabuso Creek,Louisiade Archipelago,,,,,,not_found
7753,Aburatsu,Japan Kyushu East Coast,"Aburatsu, Nichinan, Miyazaki Prefecture 887-0001, Japan",31.5835837,131.4041797,Nichinan,Japan,done
1717,A CORUNA,Spain,"A Coruña, Spain",43.3623436,-8.4115401,A Coruña,Spain,done
7936,Aburatsubo,Japan Honshu South Coast,"Aburatsubo-wan, Misakimachi Mutsuai, Miura, Kanagawa Prefecture 238-0221, Japan",35.15,139.6333333,Miura,Japan,done
4276A,Abadan,Iran,"Abadan, Khuzestan Province, Iran",30.347296,48.2934004,Abadan,Iran,done
3308A,Acadia Cove,Labrador,"Acadia Cove, Niceville, FL 32578, USA",30.493808,-86.417874,Niceville,United States,done
6760,Abaiang Atoll,Kiribati,"Abaiang Airport, Abaiang, Kiribati",1.670833,173.30417,Abaiang,Kiribati,done
9444,Acajutla,Salvador,"Acajutla, El Salvador",13.5957,-89.82708939999999,Acajutla,El Salvador,done
8117,Abashiri,Japan Hokkaido North-East Coast,"Abashiri, Hokkaido Prefecture, Japan",44.0206319,144.2733983,Abashiri,Japan,done
9432,Acapulco,Mexico,"Acapulco, Guerrero, Mexico",16.8531086,-99.8236533,Acapulco,Mexico,done
5930,Abbot Point,Australia East Coast,"Abbot Point, Bowen QLD 4805, Australia",-19.9078861,148.0846726,Bowen,Australia,done
2243,Acarau,Brazil,"Acaraú - Santa Maria, Acaraú - CE, Brazil",-2.8880609,-40.1186635,Acaraú,Brazil,done
6756,Abemama,Kiribati,"Abemama Island, Kiribati",0.4243523,173.9150503,,Kiribati,done
3626,Accra,Ghana,"Accra, Ghana",5.6037168,-0.1869644,Accra,Ghana,done
0482A,Aberdaron,Wales,"Aberdaron, Pwllheli LL53, UK",52.80472899999999,-4.711514999999999,Aberdaron,United Kingdom,done
4253F,AD DAMMAM (K.A.A.P.),Saudi Arabia,Dammam Saudi Arabia,26.3926665,49.9777136,Dammam,Saudi Arabia,done
244,ABERDEEN,Scotland,"Aberdeen, UK",57.149717,-2.094278,Aberdeen,United Kingdom,done
3526,Ad-Dakhla (Villa Cisneros Bar),Western Sahara,"100، Boulevard Mohammed V, Dakhla 73000",23.693993,-15.933476,Dakhla,,done
9222,Aberdeen (Grays Harbour),United States,"Aberdeen, WA, USA",46.9753708,-123.8157218,Aberdeen,United States,done
3628,Ada Panya (Riverside),Ghana,,,,,,not_found
486,Aberdovey,Wales,"Aberdyfi, UK",52.543963,-4.046093,Aberdyfi,United Kingdom,done
8954,Adams (Welcome) Harbour,Canada,,,,,,not_found
0488A,Aberporth,Wales,"Aberporth, UK",52.1325069,-4.544851,Aberporth,United Kingdom,done
8944,Addenbroke Island,Canada,"Addenbroke Island, Central Coast A, BC, Canada",51.6073765,-127.8440645,,Canada,done
487,Aberystwyth,Wales,"Aberystwyth, UK",52.41530299999999,-4.08292,Aberystwyth,United Kingdom,done
4410,Addoo Atoll,Maldive Islands,"Addu Atholhu, Addu City, Maldives",-0.6333333,73.1666667,Addu City,Maldives,done
3615,ABIDJAN ENTRANCE,Cote D'Ivoire,,,,,,not_found
6289,Adele Island,Australia North Coast,"Adele Island, Western Australia, Australia",-15.5273475,123.1548332,,Australia,done
2020B,Ablation Lake,Antarctica,"Ablation Lake, Antarctica",-70.816667,-68.43333299999999,,Antarctica,done
4155,ADEN,Republic of Yemen,"Aden, Yemen",12.7854969,45.0186548,Aden,Yemen,done
1699,Abra De Bilbao,Spain,"Areatza Kalea, 5, 48005 Bilbo, Bizkaia, Spain",43.2597511,-2.9228624,Bilbo,Spain,done
1839,Adjim Bar,Tunisia,"Djerba Ajim, Tunisia",33.7214083,10.742805,,Tunisia,done
