ukhoId,ukhoName,ukhoLocation,gmaAddress,gmaLatitude,gmaLongitude,gmaCity,gmaCountry,gmaStatus
5576,`Rabuso Creek,Louisiade Archipelago,,,,,,new
7753,Aburatsu,Japan Kyushu East Coast,,,,,,new
1717,A CORUNA,Spain,,,,,,new
7936,Aburatsubo,Japan Honshu South Coast,,,,,,new
4276A,Abadan,Iran,,,,,,new
3308A,Acadia Cove,Labrador,,,,,,new
6760,Abaiang Atoll,Kiribati,,,,,,new
9444,Acajutla,Salvador,,,,,,new
8117,Abashiri,Japan Hokkaido North-East Coast,,,,,,new
9432,Acapulco,Mexico,,,,,,new
5930,Abbot Point,Australia East Coast,,,,,,new
2243,Acarau,Brazil,,,,,,new
6756,Abemama,Kiribati,,,,,,new
3626,Accra,Ghana,,,,,,new
0482A,Aberdaron,Wales,,,,,,new
4253F,AD DAMMAM (K.A.A.P.),Saudi Arabia,,,,,,new
244,ABERDEEN,Scotland,,,,,,new
3526,Ad-Dakhla (Villa Cisneros Bar),Western Sahara,,,,,,new
9222,Aberdeen (Grays Harbour),United States,,,,,,new
3628,Ada Panya (Riverside),Ghana,,,,,,new
486,Aberdovey,Wales,,,,,,new
8954,Adams (Welcome) Harbour,Canada,,,,,,new
0488A,Aberporth,Wales,,,,,,new
8944,Addenbroke Island,Canada,,,,,,new
487,Aberystwyth,Wales,,,,,,new
4410,Addoo Atoll,Maldive Islands,,,,,,new
3615,ABIDJAN ENTRANCE,Cote D'Ivoire,,,,,,new
6289,Adele Island,Australia North Coast,,,,,,new
2020B,Ablation Lake,Antarctica,,,,,,new
4155,ADEN,Republic of Yemen,,,,,,new
1699,Abra De Bilbao,Spain,,,,,,new
1839,Adjim Bar,Tunisia,,,,,,new
4213,Abu Al Abyad,United Arab Emirates,,,,,,new
2040,Admiralty Bay,Antarctica,,,,,,new
4255A,Abu Ali,Saudi Arabia,,,,,,new
6307,Adolphus Island,Australia North Coast,,,,,,new
4149,Abu Ali Islands,Republic of Yemen,,,,,,new
8485,Adugak Island,Aleutian Islands,,,,,,new
4254A,Abu Sa'fah,Saudi Arabia,,,,,,new
2066,Adventure Sound,Falkland Islands,,,,,,new
3518,AGADIR,Morocco,,,,,,new
7925,Akabane,Japan Honshu South Coast,,,,,,new
3961,Agalega Islands,Mauritius Group,,,,,,new
8057,Akasaki,Japan Honshu West Coast,,,,,,new
5532,Agats (Teluk Flamingo),Papua,,,,,,new
7844,Akashi,Japan Honshu South Coast,,,,,,new
4981,Aguasa Bay,Philippine Islands,,,,,,new
3654,Akassa,Nigeria,,,,,,new
3252B,Agvik Island,Labrador,,,,,,new
8029,Akita,Japan Honshu West Coast,,,,,,new
6570,Ahe,Tuamoto (Low) Archipelago,,,,,,new
8106,Akkeshi,Japan Hokkaido East Coast,,,,,,new
6384,Ahipara Bay,New Zealand North Island,,,,,,new
4487,Akra Semaphore,India East Coast,,,,,,new
5525,Aiduna,Papua,,,,,,new
822,Akranes,Iceland,,,,,,new
5591,Aigura Point,Papua New Guinea,,,,,,new
1984A,Akrotiri,Cyprus,,,,,,new
5529,AIKA,Papua,,,,,,new
7690,Akune,Japan Kyushu West Coast,,,,,,new
6771,Ailinglapalap Atoll,Marshall Islands,,,,,,new
849,Akureyri,Iceland,,,,,,new
7837,Aioi,Japan Honshu South Coast,,,,,,new
8497,Akutan Island,Aleutian Islands,,,,,,new
4826,Air Bangis,Sumatera South West Coast,,,,,,new
4119,Al `Aqabah,Jordan,,,,,,new
6603,Aitutaki,Cook Islands South,,,,,,new
4179,Al Ashkhara,Oman,,,,,,new
1794,Ajaccio,Corsica,,,,,,new
4271,AL BASRAH,Iraq,,,,,,new
2073,Ajax Bay,Falkland Islands,,,,,,new
4268A,Al Basrah (Al Bakr) Terminal,Iraq,,,,,,new
8023,Ajigasawa,Japan Honshu West Coast,,,,,,new
4253B,Al Budayyi,Bahrain,,,,,,new
7933,Ajiro,Japan Honshu South Coast,,,,,,new
4269,AL FAW,Iraq,,,,,,new
8056,Ajiro (Honshu W Coast),Japan Honshu West Coast,,,,,,new
4262A,Al Fintas,Kuwait,,,,,,new
4204,AJMAN,United Arab Emirates,,,,,,new
4170,Al Hallaniyah,Oman,,,,,,new
4129,Al Hasani,Saudi Arabia,,,,,,new
2077A,Albemarle,Falkland Islands,,,,,,new
4146A,Al Hudaydah,Republic of Yemen,,,,,,new
114,Albert Bridge,England,,,,,,new
1992,AL ISKANDARIYAH (ALEXANDRIA),Egypt,,,,,,new
3026,Alberton,Canada,,,,,,new
4253C,Al Jasser Island,Bahrain,,,,,,new
5923,Albino Rock,Australia East Coast,,,,,,new
4202,Al Jazeera Port,United Arab Emirates,,,,,,new
1741A,Alcochete,Portugal,,,,,,new
4239A,Al Jazirah Al Aliyah,Qatar,,,,,,new
3978,Aldabra Islands,Seychelles,,,,,,new
4255,AL JUBAYL,Saudi Arabia,,,,,,new
139,Aldeburgh,England,,,,,,new
4189A,Al Khaburah,Oman,,,,,,new
9151,Aleck Bay,United States,,,,,,new
4247E,Al Khraij,Qatar,,,,,,new
3407A,Alert,Canadian Arctic,,,,,,new
4253E,Al Khubar,Saudi Arabia,,,,,,new
9016,Alert Bay,"Canada, Vancouver Island",,,,,,new
4170B,Al Lakbi,Oman,,,,,,new
1233,ALESUND,Norway,,,,,,new
4194A,Al Lima,Oman,,,,,,new
1740C,Alfeite,Portugal,,,,,,new
4162,Al Mukalla,Republic of Yemen,,,,,,new
836,Alftafjordhur,Iceland,,,,,,new
4151,Al Mukha,Republic of Yemen,,,,,,new
1769,Algeciras,Spain,,,,,,new
